id;emp_name;salary
1;calculate networks;75661
2;repurpose withdrawal;25835
3;街 Granite leading-edge;64124
4;重庆市 silver;8021
5;maximized;12827
6;栋;71091
7;Account Garden;48993
8;reinvent orchestrate;90427
9;connecting National;747
10;Singapore;56136
11;Berkshire;13440
12;Music open-source;18582
13;payment frictionless Accounts;13557
14;Soap;95499
15;interface;17464
16;rich payment lavender;12408
17;Movies;63674
18;Infrastructure Bike;84274
19;initiatives invoice white;43324
20;auxiliary purple Secured;4029
21;Mandatory 上海市;59429
22;Unbranded;33992
23;withdrawal;353
24;Rustic Operations;29076
25;Personal sensor Wooden;39719
26;Pataca;22444
27;Group Cheese;23400
28;multi-state payment;25607
29;deposit;22786
30;partnerships Metal UIC-Franc;68151
31;customized;2422
32;National;43400
33;International deposit;3813
34;Music;3514
35;Finland;42099
36;bypassing infomediaries implementation;3555
37;Legacy;71229
38;Administrator Sports Gorgeous;9667
39;Market Expanded;99418
40;Strategist back-end Global;88
41;Computer approach;25303
42;桥 mesh;67881
43;Agent quantifying;6557
44;red framework;80394
45;Chips;39686
46;Plastic open-source Object-based;2555
47;Frozen;16293
48;Inverse Germany;19398
49;metrics;29741
50;Program;59787
51;安徽省 copy Manat;34844
52;fuchsia;15659
53;navigating;75360
54;Fresh;95478
55;bleeding-edge;76360
